0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0025;1-30-STSM-001-01;1-30;27.0;CPECC-CC-52592 BD;CPECC-CC-60789 BD;
0055-CPC-GGC-4.1.3.30.134-TM4-ID-A-0042;1-30-STSM-024-05;1-30;43.0;CPECC-CC-52762 BD;CPECC-CC-60063 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0021;1-30-STSM-014-10;1-30;44.0;CPECC-CC-54354 BD;CPECC-CC-60395 BD;
0055-CPC-GGC-4.1.3.30.134-TM4-ID-A-0043;1-30-STSM-024-06;1-30;17.0;CPECC-CC-52757 BD;CPECC-CC-60061 BD;
0055-CPC-GGC-4.1.3.30.134-TM4-ID-A-0044;1-30-STSM-024-06;1-30;31.0;CPECC-CC-52757 BD;CPECC-CC-60061 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0044;1-30-STSM-016-08;1-30;45.0;CPECC-CC-54492 BD;CPECC-CC-59972 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0017;1-30-STSM-002-01;1-30;43.0;CPECC-CC-53185 BD;CPECC-CC-60868 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0085;1-30-STSM-007-04;1-30;65.0;CPECC-CC-57769 BD;CPECC-CC-60771 BD;
0055-CPC-GGC-4.1.3.30.125-TM4-ID-A-0042;1-30-STSM-022-05;1-30;17.0;CPECC-CC-54807 BD;CPECC-CC-59994 BD;
0055-CPC-GGC-4.1.3.30.125-TM4-ID-A-0043;1-30-STSM-022-05;1-30;25.0;CPECC-CC-54807 BD;CPECC-CC-59994 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0012;1-30-STSM-001-02;1-30;97.0;CPECC-CC-51011/1 BD;CPECC-CC-60790 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0046;1-30-STSM-015-05;1-30;8.0;CPECC-CC-54663 BD;CPECC-CC-60463 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0010;1-30-STSM-014-05;1-30;6.0;CPECC-CC-57525 BD;CPECC-CC-60398 BD;
0055-CPC-GGC-4.1.3.30.130-TM4-ID-A-0018;1-30-STSM-031-01;1-30;37.0;CPECC-CC-43376 BD;CPECC-CC-46061 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0042;1-30-STSM-016-03;1-30;7.0;CPECC-CC-54997 BD;CPECC-CC-60279 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0011;1-30-STSM-014-05;1-30;18.0;CPECC-CC-57525 BD;CPECC-CC-60398 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0018;1-30-STSM-002-02;1-30;45.0;CPECC-CC-53964 BD;CPECC-CC-60869 BD;
0055-CPC-GGC-4.1.3.30.125-TM4-ID-A-0045;1-30-STSM-022-05;1-30;9.0;CPECC-CC-54807 BD;CPECC-CC-59994 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0013;1-30-STSM-001-03;1-30;36.0;CPECC-CC-58216 BD;CPECC-CC-60788 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0019;1-30-STSM-002-03;1-30;49.0;CPECC-CC-54341 BD;CPECC-CC-59868 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0009;1-30-STSM-002-07;1-30;27.5;CPECC-CC-54199 BD;CPECC-CC-60892 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0020;1-30-STSM-002-04;1-30;51.0;CPECC-CC-53963 BD;CPECC-CC-59967/1 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0008;1-30-STSM-014-04;1-30;37.0;CPECC-CC-57522 BD;CPECC-CC-60399 BD;
0055-CPC-GGC-4.1.3.30.125-TM4-ID-A-0044;1-30-STSM-022-05;1-30;13.0;CPECC-CC-54807 BD;CPECC-CC-59994 BD;
0055-CPC-GGC-4.1.3.30.134-TM4-ID-A-0049;1-30-STSM-031-01;1-30;29.0;CPECC-CC-43376 BD;CPECC-CC-46061 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0043;1-30-STSM-016-03;1-30;20.0;CPECC-CC-54997 BD;CPECC-CC-60279 BD;
0055-CPC-GGC-4.1.3.30.125-TM4-ID-A-0039;1-30-STSM-022-02;1-30;36.0;CPECC-CC-54806/2 BD;CPECC-CC-60004 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0047;1-30-STSM-015-05;1-30;19.0;CPECC-CC-54663 BD;CPECC-CC-60463 BD;
0055-CPC-GGC-4.1.3.30.125-TM4-ID-A-0041;1-30-STSM-022-04;1-30;39.0;CPECC-CC-54805/1 BD;CPECC-CC-59995 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0011;1-30-STSM-002-08;1-30;9.0;CPECC-CC-54197 BD;CPECC-CC-60894 BD;
0055-CPC-GGC-4.1.3.30.134-TM4-ID-A-0050;1-30-STSM-031-02;1-30;29.0;CPECC-CC-43249/43251 BD;CPECC-CC-46062 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0015;1-30-STSM-003-03;1-30;50.0;CPECC-CC-53175 BD;CPECC-CC-54322 BD;
0055-CPC-GGC-4.1.3.30.120-TM4-ID-A-0004;1-30-STSM-029-03;1-30;56.0;CPECC-CC-60183 BD;CPECC-CC-61005 BD;
0055-CPC-GGC-4.1.3.30.120-TM4-ID-A-0005;1-30-STSM-029-03;1-30;30.0;CPECC-CC-60183 BD;CPECC-CC-61005 BD;
0055-CPC-GGC-4.1.3.30.120-TM4-ID-A-0006;1-30-STSM-029-01/1-30-STSM-029-02;1-30;99.0;CPECC-CC-60182 BD;CPECC-CC-61021 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0075;1-30-STSM-018-01;1-30;24.0;CPECC-CC-57775/1 BD;CPECC-CC-60186 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0001;1-30-STSM-014-02;1-30;42.0;CPECC-CC-60918 BD;CPECC-CC-61409 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0002;1-30-STSM-014-01;1-30;46.0;CPECC-CC-57776 BD;CPECC-CC-59974 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0003;1-30-STSM-014-01;1-30;5.0;CPECC-CC-57776 BD;CPECC-CC-59974 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0004;1-30-STSM-014-01;1-30;23.0;CPECC-CC-57776 BD;CPECC-CC-59974 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0005;1-30-STSM-014-03;1-30;19.0;CPECC-CC-57770 BD;CPECC-CC-60394 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0006;1-30-STSM-014-03;1-30;7.0;CPECC-CC-57770 BD;CPECC-CC-60394 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0007;1-30-STSM-014-03;1-30;18.0;CPECC-CC-57770 BD;CPECC-CC-60394 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0009;1-30-STSM-014-04;1-30;31.0;CPECC-CC-57522 BD;CPECC-CC-60399 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0101;1-30-STSM-008-08;1-30;25.0;CPECC-CC-57521 BD;CPECC-CC-60668 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0099;1-30-STSM-008-08;1-30;9.0;CPECC-CC-57521 BD;CPECC-CC-60668 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0100;1-30-STSM-008-08;1-30;5.0;CPECC-CC-57521 BD;CPECC-CC-60668 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0012;1-30-STSM-015-06;1-30;20.0;CPECC-CC-54809 BD;CPECC-CC-60287 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0013;1-30-STSM-015-06;1-30;19.0;CPECC-CC-54809 BD;CPECC-CC-60287 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0001;1-30-STSM-002-05;1-30;14.0;CPECC-CC-61173/1 BD;CPECC-CC-61411 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0021;1-30-STSM-003-01;1-30;48.0;CPECC-CC-53180 BD;CPECC-CC-59988 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0016;1-30-STSM-015-06;1-30;7.0;CPECC-CC-54809 BD;CPECC-CC-60287 BD;
0055-CPC-GGC-4.1.3.30.121-TM4-ID-A-0017;1-30-STSM-014-09;1-30;25.0;CPECC-CC-53067 BD;CPECC-CC-55065 BD;
